Well,Date,Time,Mud Wt. In (ppg),Mud Wt. Out  (ppg),Temp Out deg °F,Funnel Viscosity ,Fann 600 rpm,Fann 300 rpm,Fann 200 rpm,Fann 100 rpm,Fann 6 rpm,Fann 3 rpm,Plastic Viscosity (lb/100ft²),Yield Point (lb/100ft²),Gel 10Sec (lb/100ft²),Gel 10min (lb/100ft²),n,K,API Fluid Loss (ml),Cake mm,pH,Pm,Pf,Mf,Chloride mg/l,Ca+ mg/l,NaO mg/l,KCl ppb,K+ mg/l,HTHP Water(ml) ,HTHP (Cake mm),Water % ,Retort Solids  % ,Corrected Solids %,Oil%,Sand %,Solids ASG,LGS %,HGS % ,MBT
OVHOR - 13,7/16/2012,8:00HRS,,,,,,,,,,,,,,,,,,,9,,,,2800,200,,,,,,,,,,,,,,
,,15:00HRS,8.9,8.9,,65,65,50,42,37,25,23,15,35,26,30,0.4,2.4,,,9,,,,2800,200,,,,,,,,,,,,,,
,,24:00HRS,8.9,8.9,,65,65,50,42,37,25,23,15,35,26,30,0.4,2.4,,,9,,,,2800,200,,,,,,,,,,,,,,
,7/17/2012,8:00HRS,8.7,8.7,,80,35,29,21,17,10,8,6,23,13,26,0.3,2.7,15,2,9,,,,2800,200,,,,,,98,2,,,0.8,,,,20
,,15:00HRS,8.7,8.7,,80,35,29,21,17,10,8,6,23,13,26,0.3,2.7,15,2,9,,,,2800,200,,,,,,98,2,,,0.8,,,,20
,,24:00HRS,8.7,8.7,,80,35,29,21,17,10,8,6,23,13,26,0.3,2.7,15,2,9,,,,2800,200,,,,,,98,2,,,0.8,,,,20
,7/18/2012,8:00HRS,8.7,8.7,,80,35,29,21,17,,8,6,23,13,26,0.3,2.7,15.5,2,9,,,,2800,200,,,,,,98,2,,,0.8,,,,20
,,15:00HRS,8.7,8.7,,80,35,29,21,17,10,8,6,23,13,26,0.3,2.7,15.5,2,9,,,,2800,200,,,,,,98,2,,,0.8,,,,20
,,24:00HRS,8.7,8.7,,80,35,29,21,17,,8,6,23,13,26,0.3,2.7,15.5,2,9,,,,2800,200,,,,,,98,2,,,0.8,,,,20
,7/19/2012,8:00HRS,8.7,8.8,,69,,,,,,,,,,,,,9,1,9,1.1,0.65,0.9,24000,200,,18,27000,,,98,2,,,,,,,10
,,15:00HRS,8.8,8.7,,60,35,29,21,17,10,,6,23,8,19,0.3,2.7,7,1,9,1.1,0.65,0.9,33000,200,,23,34500,,,97,2,,1,0.8,,,,10
