Mud Wt. In (ppg),Mud Wt. Out  (ppg),Temp Out deg °F,Funnel Viscosity ,Fann 600 rpm,Fann 300 rpm,Fann 200 rpm,Fann 100 rpm,Fann 6 rpm,Fann 3 rpm,n,K,API Fluid Loss (ml),Cake mm,Water % ,Retort Solids  % 
,,,,,,,,,,,,,,,
8.9,8.9,,65,65,50,42,37,25,23,0.4,2.4,,,,
8.9,8.9,,65,65,50,42,37,25,23,0.4,2.4,,,,
8.7,8.7,,80,35,29,21,17,10,8,0.3,2.7,15,2,98,2
8.7,8.7,,80,35,29,21,17,10,8,0.3,2.7,15,2,98,2
8.7,8.7,,80,35,29,21,17,10,8,0.3,2.7,15,2,98,2
8.7,8.7,,80,35,29,21,17,,8,0.3,2.7,15.5,2,98,2
8.7,8.7,,80,35,29,21,17,10,8,0.3,2.7,15.5,2,98,2
8.7,8.7,,80,35,29,21,17,,8,0.3,2.7,15.5,2,98,2
8.7,8.8,,69,,,,,,,,,9,1,98,2
8.8,8.7,,60,35,29,21,17,10,,0.3,2.7,7,1,97,2
9,9,,,50,41,33,21,10,9,0.3,3.5,7,1,98,2
8.8,8.8,,60,51,41,21,21,10,,0.3,3.5,8,1,92,2
8.8,8.8,,60,51,41,21,21,10,,0.3,3.5,7,1,92,2
8.8,8.8,,60,51,41,21,21,10,,0.3,3.5,7,1,92,2
8.8,8.8,,67,55,40,31,23,10,7,0.5,,7,1,94,4
8.8,8.9,,60,56,40,32,23,9,6,0.5,1,6,1,94,4
8.8,8.8,,65,56,40,34,25,10,9,0.4,1.3,7,1,94,4
8.9,8.9,,,65,56,41,34,25,10,0.2,7.5,6,1,93,4
8.9,8.9,,60,52,39,34,30,11,8,0.4,1.5,6,1,94,3
8.9,8.9,,60,53,40,33,25,11,8,0.4,1.6,6,1,94,3
8.9,8.9,,60,53,40,33,25,11,8,0.4,,6,1,93,4
8.9,8.9,,54,52,39,34,30,11,8,0.4,1.5,6,1,93,4
8.9,8.9,,60,53,40,33,25,11,8,0.4,1.6,6,1,93,4
8.9,8.9,,60,53,40,33,25,11,8,0.4,1.2,6,1,94,4
8.9,8.9,,58,58,42,34,25,10,8,0.5,1.2,5,1,94,3
8.9,8.9,,60,57,42,34,24,10,8,0.4,1.4,5,1,94,3
8.9,8.9,,58,58,42,34,25,10,8,0.5,1.2,4.8,1,94,3
8.9,8.9,,58,58,42,34,25,10,8,0.5,1.2,4.8,1,94,3
8.9,8.9,,60,57,42,34,24,10,8,0.4,1.4,4.8,1,94,3
8.9,8.9,,60,57,42,34,24,10,8,0.4,1.2,5,1,94,3
8.9,8.9,,58,58,42,34,25,10,8,0.5,1.2,4.8,1,94,3
8.9,8.9,,60,57,42,34,24,10,8,0.4,1.4,4.8,1,94,3
8.9,8.9,,52,45,36,30,22,8,6,0.3,1.2,4.5,1,94,3
8.9,8.9,,51,45,34,29,21,8,8,0.4,1.4,4.5,1,94,3
